,V9,V10,V11,V14,V15,V17,V19,V20,V21,V27,V28,V29,V30,V31,V32,V33,Class
1715,0.8768472906403941,0.7407407407407407,0.2821869488536155,0.0,0.7128215434083602,1.0,0.661830357142857,0.8686422866750736,0.5,0.2395005675368899,0.0,0.0,0.0,0.0,0.0,0.0,1
250,0.5024630541871922,0.4027777777777778,0.23104056437389797,0.11538461538461542,0.12580385852090034,0.908339215488555,0.9154829545454544,0.9044766708701135,0.0,0.111577752553916,0.0,1.0,0.0,0.0,0.0,0.0,0
680,0.20689655172413793,0.412037037037037,0.23104056437389797,0.0,0.06069131832797428,0.3431481294746396,0.6310876623376622,0.42749054224464056,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1864,0.39408866995073893,0.5648148148148148,0.8201058201058204,0.11538461538461542,0.8515876205787782,0.12917212866794392,0.9999999999999999,0.3432114333753678,0.0,0.059591373439273565,0.0,0.0,0.0,0.0,0.0,0.0,1
1795,0.45320197044334976,0.4027777777777778,0.23809523809523814,0.3076923076923077,0.21543408360128619,0.7983261066854896,0.9077719155844155,1.0,0.0,0.07514188422247448,0.0,0.0,0.0,0.0,0.0,0.0,1
162,0.4876847290640394,0.375,0.22398589065255736,0.11538461538461542,0.2864750803858521,0.9160028234345063,0.6262175324675324,1.0,0.0,0.14097616345062428,0.0,1.0,0.0,0.0,0.0,0.0,0
1519,0.21674876847290642,0.33333333333333337,0.2821869488536155,0.038461538461538464,0.01889067524115756,0.46929514974286585,0.9999999999999999,1.0,1.0,0.19886492622020432,0.0,0.0,0.0,0.0,0.0,0.0,1
1839,0.7980295566502463,0.7037037037037037,0.22222222222222232,0.23076923076923078,0.05938504823151126,0.6218614500352929,0.9403409090909091,1.0,0.0,0.181838819523269,0.0,0.0,0.0,0.0,0.0,0.0,1
1684,0.43842364532019706,0.4027777777777778,0.2275132275132279,0.6153846153846154,0.08299839228295822,0.1981446001815065,0.1545251623376623,0.7838377469525011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
820,0.541871921182266,0.43981481481481477,0.22398589065255736,0.0,0.03114951768488746,0.19330442674195827,0.24847808441558436,1.0,1.0,0.3254256526674234,0.0,0.0,0.0,0.0,1.0,0.0,0
286,0.5665024630541872,0.47685185185185186,0.2275132275132279,0.11538461538461542,0.26376607717041806,0.681556922456388,0.49269480519480513,0.4955863808322824,0.0,0.32905788876276953,0.0,1.0,0.0,0.0,0.0,0.0,0
856,0.46798029556650245,0.44907407407407407,0.24514991181657875,0.23076923076923078,0.9106712218649519,0.09246748008470305,0.109375,1.0,1.0,0.99738933030647,0.0,0.0,0.0,0.0,1.0,0.0,0
1570,0.3793103448275862,0.3935185185185185,0.8112874779541448,0.15384615384615385,0.7814509646302251,0.6639104567913683,0.9999999999999999,1.0,1.0,0.16685584562996594,0.0,0.0,0.0,0.0,0.0,0.0,1
353,0.9605911330049262,0.8148148148148148,0.2821869488536155,0.0,0.4607114147909968,0.8991630533427448,0.9999999999999999,1.0,0.0,0.08671963677639044,0.0,0.0,1.0,0.0,0.0,0.0,0
1334,0.39408866995073893,0.375,0.2592592592592595,0.0,0.5221061093247589,0.5120500151255419,0.3719561688311688,0.7844682639764607,1.0,0.75527809307605,0.0,0.0,0.0,0.0,0.0,0.0,1
1532,0.39408866995073893,0.2962962962962963,0.8201058201058204,0.11538461538461542,0.03677652733118971,0.3414339013814662,0.23183847402597402,0.9026902059688945,1.0,0.9679909194097616,0.0,0.0,0.0,0.0,0.0,0.0,1
579,0.22167487684729065,0.40740740740740744,0.23456790123456805,0.0,0.06059083601286174,0.370575778965413,0.7818587662337662,0.5027322404371586,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
138,0.3891625615763547,0.41666666666666663,0.8306878306878307,0.07692307692307693,0.44383038585209006,0.4739336492890996,0.6054180194805194,1.0,1.0,0.34018161180476736,1.0,0.0,0.0,0.0,0.0,0.0,0
453,0.12807881773399016,0.4907407407407407,0.308641975308642,0.0,0.055868167202572344,0.9296158112332359,0.25385551948051943,0.3287095418242959,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1817,0.5221674876847291,0.41666666666666663,0.24162257495590822,0.34615384615384615,0.2770297427652733,0.4238176868004437,0.3912337662337662,1.0,1.0,0.07968217934165722,0.0,0.0,0.0,0.0,0.0,0.0,1
778,0.6354679802955665,0.48611111111111105,0.23104056437389797,0.038461538461538464,0.23090836012861737,0.8319048099223556,0.8550121753246752,0.8248213535098782,0.0,0.023836549375709448,0.0,0.0,0.0,1.0,0.0,0.0,0
45,0.33004926108374383,0.3379629629629629,0.8165784832451499,0.07692307692307693,0.06661977491961416,0.17686800443682565,0.19774756493506493,1.0,1.0,0.6777525539160045,1.0,0.0,0.0,0.0,0.0,0.0,0
1842,0.7438423645320197,0.6388888888888888,0.22222222222222232,0.23076923076923078,0.16489147909967847,0.30452757890491083,0.32355925324675316,0.9015342580916351,1.0,0.3549375709421112,0.0,0.0,0.0,0.0,0.0,0.0,1
753,0.5566502463054187,0.4814814814814815,0.23104056437389797,0.038461538461538464,0.9190112540192926,0.49581526671372395,0.9999999999999999,1.0,0.0,0.013280363223609537,0.0,0.0,0.0,1.0,0.0,0.0,0
542,0.18226600985221675,0.43981481481481477,0.23456790123456805,0.0,0.06792604501607717,0.40415448220227895,0.6652800324675324,0.5281630937368643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
258,0.4729064039408867,0.3842592592592593,0.2275132275132279,0.11538461538461542,0.17192524115755628,0.3651305838459212,0.4081777597402597,1.0,1.0,0.3717366628830874,0.0,1.0,0.0,0.0,0.0,0.0,0
